City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
593,San Lorenzo,PY,77.0,clear sky,-25.3333,-57.5333,Hotel del Sur
597,Manokwari,ID,81.05,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
598,Ulladulla,AU,79.0,broken clouds,-35.35,150.4667,Sandpiper Motel
607,Sechura,PE,78.19,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
609,Pochutla,MX,79.0,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
613,Ballina,AU,84.2,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
616,Agutaya,PH,80.67,clear sky,11.148,120.9417,
618,Canguaretama,BR,80.6,few clouds,-6.38,-35.1289,Pousada do Italiano
621,Yenagoa,NG,77.45,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
622,Ternate,ID,84.45,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
643,Sampit,ID,83.48,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
644,Kailua,US,75.2,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
645,Aden,YE,77.9,clear sky,12.7794,45.0367,Sama Emirate Hotel
651,San Juan,AR,75.61,scattered clouds,-31.5375,-68.5364,Hotel Provincial
659,Penukonda,IN,76.46,clear sky,14.0833,77.5833,The Hotel Spider
660,Negombo,LK,77.0,clear sky,7.2083,79.8358,Hotel Sunset Beach
662,Acarau,BR,78.33,clear sky,-2.8856,-40.12,castelo pizzaria
668,Kulhudhuffushi,MV,82.92,scattered clouds,6.6221,73.07,Haajy Guest House 1
671,Murud,IN,78.87,clear sky,18.3258,72.965,On Point Plaza
678,Bolgatanga,GH,85.14,broken clouds,10.7856,-0.8514,Mama's Place
685,Sapouy,BF,82.18,clear sky,11.5544,-1.7736,Auberge St Louis
